LANGUAGE, ENGLISH, GERMAN

STR_hint,"Now choose your weapon Radio an send some messages into the world!","Wähle jetzt Deine Waffe Funkgerät und schicke einige Botschaften in die Welt!"


STR_Radio_Channel_1,"Channel 1","Kanal 1"
STR_Radio_Channel_2,"Channel 2","Kanal 2"
STR_Radio_Channel_3,"Channel 3","Kanal 3"
STR_Radio_Channel_4,"Channel 4","Kanal 4"
STR_Radio_Channel_5,"Channel 5","Kanal 5"
STR_Radio_Channel_6,"Channel 6","Kanal 6"
STR_Radio_Channel_7,"Channel 7","Kanal 7"
STR_Radio_Channel_8,"Channel 8","Kanal 8"
STR_Radio_Channel_9,"Channel 9","Kanal 9"
STR_Radio_Channel_10,"Channel 10","Kanal 10"
